Name,trueName,x,y,z,Axis.X,Axis.Y,Axis.Z,RefDirection.X,RefDirection.Y,RefDirection.Z
END-S-0/1,END-S0/D,158.75,4514.50,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,3933.00,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,3915.00,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,3333.50,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,3315.50,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,2734.00,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,2716.00,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,2134.50,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,2116.50,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,1535.00,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,1517.00,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,335.50,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,935.50,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/1,END-S0/D,158.75,917.50,273.75,0.00,-1.00,0.00,0.00,0.00,-1.00
END-S-0/10,END-R0/E,158.75,4514.50,273.75,0.00,1.00,0.00,0.00,0.00,-1.00
END-S-0/10,END-R0/E,158.75,299.50,273.75,0.00,1.00,0.00,0.00,0.00,-1.00
END-S-0/2,END-S0/B,267.50,4214.75,191.83,0.00,0.00,1.00,-1.00,0.00,0.00
END-S-0/2,END-S0/B,267.50,3615.25,191.83,0.00,0.00,1.00,-1.00,0.00,0.00
END-S-0/2,END-S0/B,267.50,3015.75,191.83,0.00,0.00,1.00,-1.00,0.00,0.00
END-S-0/2,END-S0/B,267.50,2416.25,191.83,0.00,0.00,1.00,-1.00,0.00,0.00
END-S-0/2,END-S0/B,267.50,1816.75,191.83,0.00,0.00,1.00,-1.00,0.00,0.00
END-S-0/2,END-S0/B,267.50,617.25,191.83,0.00,0.00,1.00,-1.00,0.00,0.00
END-S-0/2,END-S0/B,267.50,1217.25,191.83,0.00,0.00,1.00,-1.00,0.00,0.00
END-S-0/3,END-S0/C,142.75,1816.75,361.50,-1.00,0.00,0.00,0.00,0.00,1.00
END-S-0/3,END-S0/C,142.75,617.25,361.50,-1.00,0.00,0.00,0.00,0.00,1.00
END-S-0/3,END-S0/C,142.75,1217.25,361.50,-1.00,0.00,0.00,0.00,0.00,1.00
END-S-0/3,END-S0/C,142.75,4214.75,361.50,-1.00,0.00,0.00,0.00,0.00,1.00
END-S-0/3,END-S0/C,142.75,3615.25,361.50,-1.00,0.00,0.00,0.00,0.00,1.00
END-S-0/3,END-S0/C,142.75,3015.75,361.50,-1.00,0.00,0.00,0.00,0.00,1.00
END-S-0/3,END-S0/C,142.75,2416.25,361.50,-1.00,0.00,0.00,0.00,0.00,1.00
END-S-0/4,END-S0/A,18.00,3615.25,191.83,0.00,0.00,-1.00,-1.00,0.00,0.00
END-S-0/4,END-S0/A,18.00,3015.75,191.83,0.00,0.00,-1.00,-1.00,0.00,0.00
END-S-0/4,END-S0/A,18.00,2416.25,191.83,0.00,0.00,-1.00,-1.00,0.00,0.00
END-S-0/4,END-S0/A,18.00,1217.25,191.83,0.00,0.00,-1.00,-1.00,0.00,0.00
END-S-0/4,END-S0/A,18.00,1816.75,191.83,0.00,0.00,-1.00,-1.00,0.00,0.00
END-S-0/5,END-R0/A,18.00,4373.75,191.83,0.00,0.00,-1.00,0.00,-1.00,0.00
END-S-0/6,END-R0/FF,158.75,18.00,189.75,0.00,-1.00,0.00,0.00,0.00,1.00
END-S-0/7,END-R0/F,158.75,4814.50,189.75,0.00,1.00,0.00,0.00,0.00,-1.00
END-S-0/8,END-R0/G,317.50,158.75,273.75,0.00,0.00,-1.00,0.00,1.00,0.00
END-S-0/8,END-R0/G,299.50,4673.75,273.75,0.00,0.00,1.00,0.00,-1.00,0.00
END-S-0/9,END-R0/AA,18.00,458.75,191.83,0.00,0.00,-1.00,0.00,-1.00,0.00
